pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,736,30,1:24.5,static_optimized,rbf,0.1,1,0.9763544891640867,0.9972826086956522,1.0,0.9333333333333333,0.9655172413793104
end_present,DYNAMIC,736,38,1:19.4,imbalanced_focused,rbf,0.1,1,0.9736120401337793,0.9932065217391305,0.9459459459459459,0.9210526315789473,0.9333333333333333
home,STATIC,736,45,1:16.4,static_optimized,rbf,0.1,1,0.9734634050496119,0.9945652173913043,0.9361702127659575,0.9777777777777777,0.9565217391304348
next_slide,DYNAMIC,736,56,1:13.1,imbalanced_focused,rbf,0.1,1,1.0,1.0,1.0,1.0,1.0
previous_slide,DYNAMIC,736,58,1:12.7,imbalanced_focused,rbf,0.01,1,0.9501242843178327,0.9932065217391305,1.0,0.9137931034482759,0.954954954954955
rotate_down,DYNAMIC,736,67,1:11.0,imbalanced_focused,rbf,0.1,1,0.918254825088624,0.9932065217391305,0.984375,0.9402985074626866,0.9618320610687023
rotate_left,DYNAMIC,736,65,1:11.3,imbalanced_focused,rbf,0.01,1,0.9176176639367373,0.9850543478260869,0.9090909090909091,0.9230769230769231,0.916030534351145
rotate_right,DYNAMIC,736,65,1:11.3,imbalanced_focused,rbf,0.1,1,0.9553915869063495,0.9904891304347826,0.9833333333333333,0.9076923076923077,0.944
rotate_up,DYNAMIC,736,66,1:11.2,imbalanced_focused,rbf,0.1,1,0.9518747492431704,0.9891304347826086,0.9393939393939394,0.9393939393939394,0.9393939393939394
start_present,DYNAMIC,736,39,1:18.9,imbalanced_focused,rbf,0.01,1,0.973432712215321,0.9932065217391305,0.9722222222222222,0.8974358974358975,0.9333333333333333
zoom_in,DYNAMIC,736,65,1:11.3,imbalanced_focused,rbf,0.1,1,0.9703116926659334,0.9904891304347826,0.9833333333333333,0.9076923076923077,0.944
zoom_in_slide,DYNAMIC,736,38,1:19.4,imbalanced_focused,rbf,100.0,1,0.9734515339732731,0.9959239130434783,1.0,0.9210526315789473,0.958904109589041
zoom_out,DYNAMIC,736,66,1:11.2,imbalanced_focused,rbf,0.01,1,0.9525621572989994,0.9945652173913043,0.9558823529411765,0.9848484848484849,0.9701492537313433
zoom_out_slide,DYNAMIC,736,38,1:19.4,imbalanced_focused,rbf,0.1,1,0.9574273095325727,0.9959239130434783,0.972972972972973,0.9473684210526315,0.96
